TIMESTAMP;ACTIVITY;ANOMALY
04-03-2009 12:00;0;0
04-03-2009 12:01;4;0
04-03-2009 12:02;3;0
04-03-2009 12:03;3;0
04-03-2009 12:04;3;0
04-03-2009 12:05;3;0
04-03-2009 12:06;3;0
04-03-2009 12:07;3;0
04-03-2009 12:08;3;0
04-03-2009 12:09;3;0
04-03-2009 12:10;3;0
04-03-2009 12:11;3;0
04-03-2009 12:12;3;0
04-03-2009 12:13;3;0
04-03-2009 12:14;3;0
04-03-2009 12:15;3;0
04-03-2009 12:16;3;0
04-03-2009 12:17;3;0
04-03-2009 12:18;3;0
04-03-2009 12:19;3;0
04-03-2009 12:20;3;0
04-03-2009 12:21;3;0
04-03-2009 12:22;3;0
04-03-2009 12:23;3;0
04-03-2009 12:24;3;0
04-03-2009 12:25;3;0
04-03-2009 12:26;3;0
04-03-2009 12:27;3;0
04-03-2009 12:28;3;0
04-03-2009 12:29;3;0
04-03-2009 12:30;3;0
04-03-2009 12:31;3;0
04-03-2009 12:32;3;0
04-03-2009 12:33;3;0
04-03-2009 12:34;3;0
04-03-2009 12:35;3;0
04-03-2009 12:36;3;0
04-03-2009 12:37;3;0
04-03-2009 12:38;3;0
04-03-2009 12:39;3;0
04-03-2009 12:40;3;0
04-03-2009 12:41;3;0
04-03-2009 12:42;3;0
04-03-2009 12:43;3;0
04-03-2009 12:44;3;0
04-03-2009 12:45;3;0
04-03-2009 12:46;3;0
04-03-2009 12:47;3;0
04-03-2009 12:48;3;0
04-03-2009 12:49;3;0
04-03-2009 12:50;3;0
04-03-2009 12:51;3;0
04-03-2009 12:52;3;0
04-03-2009 12:53;3;0
04-03-2009 12:54;3;0
04-03-2009 12:55;3;0
04-03-2009 12:56;3;0
04-03-2009 12:57;3;0
04-03-2009 12:58;3;0
04-03-2009 12:59;3;0
04-03-2009 13:00;3;0
04-03-2009 13:01;3;0
04-03-2009 13:02;3;0
04-03-2009 13:03;3;0
04-03-2009 13:04;3;0
04-03-2009 13:05;3;0
04-03-2009 13:06;3;0
04-03-2009 13:07;3;0
04-03-2009 13:08;3;0
04-03-2009 13:09;3;0
04-03-2009 13:10;3;0
04-03-2009 13:11;3;0
